Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2000","2000","3050","FAO TIER 1","kt","-111.1403","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2001","2001","3050","FAO TIER 1","1000 ha","1612.9","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2001","2001","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2002","2002","3050","FAO TIER 1","1000 ha","1646.8","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2002","2002","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2003","2003","3050","FAO TIER 1","1000 ha","1680.7","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2003","2003","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2004","2004","3050","FAO TIER 1","1000 ha","1714.6","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2004","2004","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2005","2005","3050","FAO TIER 1","1000 ha","1748.5","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2005","2005","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2006","2006","3050","FAO TIER 1","1000 ha","1782.4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2006","2006","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2007","2007","3050","FAO TIER 1","1000 ha","1816.3","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2007","2007","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2008","2008","3050","FAO TIER 1","1000 ha","1850.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2008","2008","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2009","2009","3050","FAO TIER 1","1000 ha","1884.1","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2009","2009","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2010","2010","3050","FAO TIER 1","1000 ha","1918","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2010","2010","3050","FAO TIER 1","kt","-2405.4983","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2011","2011","3050","FAO TIER 1","1000 ha","1925.6","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2011","2011","3050","FAO TIER 1","kt","-901.736","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2012","2012","3050","FAO TIER 1","1000 ha","1933.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2012","2012","3050","FAO TIER 1","kt","-901.736","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2013","2013","3050","FAO TIER 1","1000 ha","1940.8","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2013","2013","3050","FAO TIER 1","kt","-901.736","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2014","2014","3050","FAO TIER 1","1000 ha","1948.4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2014","2014","3050","FAO TIER 1","kt","-901.736","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2015","2015","3050","FAO TIER 1","1000 ha","1956","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2015","2015","3050","FAO TIER 1","kt","-901.736","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2016","2016","3050","FAO TIER 1","1000 ha","1954.6","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2016","2016","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2017","2017","3050","FAO TIER 1","1000 ha","1953.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2017","2017","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2018","2018","3050","FAO TIER 1","1000 ha","1951.8","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2018","2018","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2019","2019","3050","FAO TIER 1","1000 ha","1950.4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2019","2019","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2020","2020","3050","FAO TIER 1","1000 ha","1949","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2020","2020","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2021","2021","3050","FAO TIER 1","1000 ha","1958.3333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2021","2021","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6751","Forestland","2022","2022","3050","FAO TIER 1","1000 ha","1968.1111","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2022","2022","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2023","2023","3050","FAO TIER 1","kt","-440.7773","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1990","1990","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1990","1990","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1991","1991","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1991","1991","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1992","1992","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1992","1992","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1993","1993","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1993","1993","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1994","1994","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1994","1994","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1995","1995","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1995","1995","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1996","1996","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1996","1996","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1997","1997","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1997","1997","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1998","1998","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1998","1998","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","1999","1999","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","1999","1999","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2000","2000","3050","FAO TIER 1","1000 ha","10","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2000","2000","3050","FAO TIER 1","kt","684.9333","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2001","2001","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2001","2001","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2002","2002","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2002","2002","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2003","2003","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2003","2003","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2004","2004","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2004","2004","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2005","2005","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2005","2005","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2006","2006","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2006","2006","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2007","2007","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2007","2007","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2008","2008","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2008","2008","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2009","2009","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2009","2009","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2010","2010","3050","FAO TIER 1","1000 ha","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2010","2010","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2011","2011","3050","FAO TIER 1","1000 ha","4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2011","2011","3050","FAO TIER 1","kt","276.32","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2012","2012","3050","FAO TIER 1","1000 ha","4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2012","2012","3050","FAO TIER 1","kt","276.32","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2013","2013","3050","FAO TIER 1","1000 ha","4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2013","2013","3050","FAO TIER 1","kt","276.32","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2014","2014","3050","FAO TIER 1","1000 ha","4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2014","2014","3050","FAO TIER 1","kt","276.32","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2015","2015","3050","FAO TIER 1","1000 ha","4","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2015","2015","3050","FAO TIER 1","kt","276.32","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2016","2016","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2016","2016","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2017","2017","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2017","2017","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2018","2018","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2019","2019","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2020","2020","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2020","2020","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2021","2021","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2021","2021","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2022","2022","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","5110","Area","6750","Net Forest conversion","2023","2023","3050","FAO TIER 1","1000 ha","9.2","E","Estimated value",""
"GF","Emissions from Forests","012","Algeria","72332","Net emissions/removals (CO2) (Forest land)","6750","Net Forest conversion","2023","2023","3050","FAO TIER 1","kt","637.8973","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1990","1990","3050","FAO TIER 1","1000 ha","79262.78","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1990","1990","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1991","1991","3050","FAO TIER 1","1000 ha","79107.363","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1991","1991","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1992","1992","3050","FAO TIER 1","1000 ha","78951.946","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1992","1992","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1993","1993","3050","FAO TIER 1","1000 ha","78796.529","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1993","1993","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1994","1994","3050","FAO TIER 1","1000 ha","78641.112","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1994","1994","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1995","1995","3050","FAO TIER 1","1000 ha","78485.695","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1995","1995","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1996","1996","3050","FAO TIER 1","1000 ha","78330.278","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1996","1996","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1997","1997","3050","FAO TIER 1","1000 ha","78174.861","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1997","1997","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1998","1998","3050","FAO TIER 1","1000 ha","78019.444","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1998","1998","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","1999","1999","3050","FAO TIER 1","1000 ha","77864.027","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","1999","1999","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2000","2000","3050","FAO TIER 1","1000 ha","77708.61","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2000","2000","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2001","2001","3050","FAO TIER 1","1000 ha","77153.549","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2001","2001","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2002","2002","3050","FAO TIER 1","1000 ha","76598.488","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2002","2002","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2003","2003","3050","FAO TIER 1","1000 ha","76043.427","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2003","2003","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2004","2004","3050","FAO TIER 1","1000 ha","75488.366","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2004","2004","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2005","2005","3050","FAO TIER 1","1000 ha","74933.305","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2005","2005","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2006","2006","3050","FAO TIER 1","1000 ha","74378.244","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2006","2006","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2007","2007","3050","FAO TIER 1","1000 ha","73823.183","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","72332","Net emissions/removals (CO2) (Forest land)","6751","Forestland","2007","2007","3050","FAO TIER 1","kt","0","E","Estimated value",""
"GF","Emissions from Forests","024","Angola","5110","Area","6751","Forestland","2008","2008","3050","FAO TIER 1","1000 ha","73268.122","E","Estimated value",""
